action,high,low,total,freq
PAYMENT,4,4,4654,0.07757
DEBIT,2,2,9814,0.16357
DEBIT,10000,200000,8,0.00013
DEBIT,5,9,3441,0.05735
CASH_OUT,2,2,13868,0.23113
DEBIT,3,3,4108,0.06847
CASH_IN,100,299,21738,0.36230
CASH_IN,10,99,21875,0.36458
DEBIT,100,299,27,0.00045
CASH_OUT,1,1,29886,0.49810
CASH_OUT,100,299,385,0.00642
DEBIT,1,1,38712,0.64520
PAYMENT,2,2,9484,0.15807
CASH_IN,3,3,1155,0.01925
TRANSFER,1500,4999,0,0.00000
CASH_OUT,3,3,6814,0.11357
TRANSFER,4,4,3085,0.05142
DEBIT,4,4,2169,0.03615
DEBIT,10,99,1782,0.02970
PAYMENT,5,9,18548,0.30913
TRANSFER,300,799,3,0.00005
CASH_OUT,10,99,972,0.01620
CASH_IN,300,799,5155,0.08592
CASH_IN,5,9,2502,0.04170
CASH_OUT,300,799,88,0.00147
CASH_IN,4,4,826,0.01377
CASH_OUT,4,4,3595,0.05992
TRANSFER,3,3,5531,0.09218
TRANSFER,5,9,5235,0.08725
CASH_IN,1,1,4692,0.07820
TRANSFER,100,299,25,0.00042
PAYMENT,100,299,16,0.00027
CASH_OUT,800,1499,1,0.00002
TRANSFER,10,99,2406,0.04010
TRANSFER,2,2,11765,0.19608
PAYMENT,1,1,17545,0.29242
CASH_IN,2,2,1952,0.03253
TRANSFER,1,1,32010,0.53350
CASH_IN,800,1499,159,0.00265
PAYMENT,3,3,6626,0.11043
PAYMENT,300,799,0,0.00000
CASH_IN,1500,4999,7,0.00012
CASH_OUT,5,9,4452,0.07420
TRANSFER,800,1499,1,0.00002
PAYMENT,10,99,3188,0.05313
